id,district,ds_division,gn_division,address,disaster_type,affected_families,affected_people
152,Nuwara Eliya,Ambagamuwa Korale,Dehigasthenna,"Dehigasthenna, Abathalawa, Ginigathhena",Landslide,1,4
153,Nuwara Eliya,Ambagamuwa Korale,Dehigasthenna,"Abathalawa, Ginigathhena",Landslide,1,4
154,Nuwara Eliya,Ambagamuwa Korale,Dehigasthenna,"Sirisewana, Abathalawa",Landslide,1,5
155,Nuwara Eliya,Ambagamuwa Korale,Sellipigama,"Abagamuwa, Udubulathgama",Landslide,6,32
156,Nuwara Eliya,Ambagamuwa Korale,Sellipigama,"Agaraoya, Abagamuwa, Udubulathgama",Landslide,1,2
157,Nuwara Eliya,Ambagamuwa Korale,Polpitiya,"Polpitiya, Pitawala",Landslide,4,25
158,Nuwara Eliya,Ambagamuwa Korale,Ambagamuwa North,"Udapa Kotuwe Gedara, Abagamuwa",Landslide,1,4
159,Nuwara Eliya,Ambagamuwa Korale,Ambagamuwa North,"Coolborn Watta, Abagamuwa, Udubulathgama",Landslide,1,2
160,Nuwara Eliya,Ambagamuwa Korale,Ambagamuwa North,"Mahapathana, Abagamuwa, Udubulathgama",Landslide,4,18
161,Nuwara Eliya,Ambagamuwa Korale,Ambagamuwa South,"Ambagamuwa Village, Abagamuwa, Udupulathgama",Landslide,4,22
162,Nuwara Eliya,Ambagamuwa Korale,Ambagamuwa  South,"No 03 Part, Kenilworth Watta",Landslide,3,45
163,Nuwara Eliya,Ambagamuwa Korale,Ambagamuwa South,"Abagamuwa Market Street, Abagamuwa, Udubulathgama",Landslide,1,5
164,Nuwara Eliya,Ambagamuwa Korale,Ambagamuwa South,"Ambagamuwa Village, Abagamuwa, Udupulathgama",Landslide,4,21
165,Nuwara Eliya,Ambagamuwa Korale,Rampadeniya,"Hathlaha, Giniathhena",Landslide,1,2
166,Nuwara Eliya,Ambagamuwa Korale,Rampadeniya,"No 01, Keniworth watta, Ginigathhena",Landslide,6,68
167,Nuwara Eliya,Ambagamuwa Korale,Polpitiya,"Polpitiya, Pitawala",Landslide,1,4
168,Nuwara Eliya,Ambagamuwa Korale,Habbakanda,"Horakada, Ginigathhena",Landslide,1,5
169,Nuwara Eliya,Ambagamuwa Korale,Gonawala,"Gonawala, Ginigathhena",Landslide,1,6
170,Nuwara Eliya,Ambagamuwa Korale,Morahenagama,"Morahenagama, Pitawala",Landslide,1,5
171,Nuwara Eliya,Ambagamuwa Korale,Waggama,"Waggama, Morahenagama, Hatton",Landslide,1,4
