location_id,district,ds_division,gn_division,Unnamed: 4,latitude,longitude,elevation,avg_rainfall,rainfall_7d,dist_to_river_km
,,,,,6.889174509,79.9407061,31.0,9.29945355191256,42.9,6.445660209582577
,,,,,6.888175605,79.93970126,18.0,9.29945355191256,42.9,6.5963781700650825
,,,,,6.89738181,79.9328317,3.0,9.018032786885243,32.6,6.176725584382144
,,,,,6.894879398,79.92977954,23.0,9.018032786885243,32.6,6.606579248580932
,,,,,6.894591624,79.91947192,8.0,9.018032786885243,32.6,7.269089981437745
,,,,,6.899362721,79.91481306,9.0,9.018032786885243,32.6,6.999737689764773
,,,,,6.885225485,79.92750633,12.0,9.29945355191256,42.9,7.603196738886647
,,,,,6.882914235,79.94088895,31.0,9.29945355191256,42.9,7.056274535954275
,,,,,6.877141063,79.9525655,28.0,9.29945355191256,42.9,7.21098842158213
,,,,,6.872069891,79.96397751,21.0,10.689344262295073,59.4,7.184116073594441
,,,,,6.863049964,79.99460932,25.0,10.689344262295073,59.4,7.392965595252104
